injury_texts,num_categories,injury_categories
Paraplegic,1,Paralysis
Muscle Strain in Buttocks Area,1,"Hip, Pelvis"
"Wrist and Neck Injuries, Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps",6,Wrist;Neck or Back;Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease
Cervical and Lumbar Sprains,1,Neck or Back
Soft Tissue Damage,1,Soft Tissue
Temporary Aggravation of Existing Spinal Injury,1,Spine
"Broken Teeth and Exposed Nerves, Abrasions to Knees, Arms, Neck, and Face",5,Mouth or Teeth;Nerve System;Arm;Neck or Back;Joint
"Soft Tissue Injury to Trapezius Muscle, Fractures of Humerus, Wrist, and Ankle",5,Soft Tissue;Shoulder;Joint;Arm;Wrist
"Injuries to Shoulder, Clavicle, and Ribs, Injuries to Neck and Shoulder in the Form of a Calcified Herniation at the C3-4 Level with Impingement on Spinal Cord",4,Ribs;Shoulder;Neck or Back;Spine
Collapsed Left Lung,1,Lung
Unequal Pelvic Levels,1,"Hip, Pelvis"
Herniated Discs L-5 and S-1,1,Spine
"Broken Nose and Cheekbone, Cervical and Lower Lumbar Pain",4,Nose;Face;Neck or Back;Spine
"Chronic Radiculopathy Syndrome, Bruises on Right Forearm and Shin",4,Neck or Back;Nerve System;Arm;Leg
"Kyphosis Which Causes Cervical Curving, Partial Paralysis of Upper Lip",4,Spine;Neck or Back;Paralysis;Mouth or Teeth
"Neck and Shoulder Injury, Neck and Shoulder Injury",2,Shoulder;Neck or Back
"Bruising on Ear and Neck, Right Knee Slip and Fall Injury",4,Ear;Neck or Back;Joint;Falling
"Hand, Wrist, Shoulder and Back Injury, Including Carpel Tunnel Syndrome, Fractures to Fibula, Medial Malleolus and Tibula",6,Hand;Wrist;Shoulder;Neck or Back;Joint;Leg
Pain and Degenerative Changes in Right Knee,1,Joint
"Broken Nose and Cheekbone, Cervical and Shoulder Sprain",4,Nose;Face;Shoulder;Neck or Back
Burn to Left Eye,2,Eye;Burns
Tissues Injuries,1,Soft Tissue
"Significant Pain in Left Arm, Shoulder and Hand, Soft Tissue Injury to Knee and Back",5,Arm;Shoulder;Hand;Joint;Neck or Back
"Injuries to Left Rib and Left Knee, Cervical and Trapezius Muscle Sprain with Worsening of Pre-existing Sprains",4,Joint;Ribs;Neck or Back;Shoulder
"Wrongful Death and Survival Actions (not distinguished), Psychological Problems including Depression",4,Survival Action;Death;General Emotional Problems;Depression
Wrongful Death and Survival Damages,1,Death
Multiple Pelvis Fractures,1,"Hip, Pelvis"
Bruising and Contusions,1,Skin
Thoracic Strain,1,Neck or Back
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Neck and Lower Back Injuries",6,Burns;Hand;Leg;Stomach;Neck or Back
"Fractures of Humerus, Wrist, and Ankle, Third Degree Burns on Buttocks",5,"Joint;Arm;Wrist;Burns;Hip, Pelvis"
Leg Pain,1,Leg
"Lacerations of the Eye and Face, Back, Hip, and Leg Injuries",5,"Eye;Face;Neck or Back;Hip, Pelvis;Leg"
"Back and Left Leg Pain, Loss of Almost All Usage of Right Arm, Hand, and Leg",4,Leg;Neck or Back;Arm;Hand
"Bruising on Ear and Neck, Partial Loss of Smell and Taste",4,Ear;Neck or Back;Nose;Mouth or Teeth
Constructive Discharge,1,Other Damages
"Permanent Paralysis From the Waist Down, Cuts and Bruises to Neck, Back, Shoulders, and Arms",4,Paralysis;Neck or Back;Shoulder;Arm
"Closed Head and Back Injury, Fractures of Humerus, Wrist, and Ankle",5,"Neck or Back;Head, Skull;Joint;Arm;Wrist"
Numbness in Arms,1,Arm
Obsessive-Compulsive Personality Disorder Which Aggravated Injuries,1,General Emotional Problems
Battery,1,Harassment
"Arm and Shoulder Pain, Muscle and Ligament Strain",4,Arm;Shoulder;Unspecified Muscle Injuries;Joint
"Arm and Shoulder Pain, Chronic Neck, Back, and Shoulder Pain",3,Arm;Shoulder;Neck or Back
Wrongful Death Action,1,Death
Permanent Paralysis,1,Paralysis
Groin Pain,1,Abdomen
Fracture and Dislocation of Right Shoulder,1,Shoulder
"Injuries to Ankle, Knee, and Lower Back, Cervical Injury (Whip Lash)",3,Joint;Neck or Back;Whiplash
Herniated Discs C5-6,1,Spine
"Contusions on Right Hand, Right Knee, Right Chest Wall, and Left Jaw, Glass Embedded in Cheek and Eye",6,Hand;Joint;Breast or Chest;Jaw;Eye;Face
"Knee, Neck and Back Injuries, Hip and Leg Contusions",4,"Joint;Neck or Back;Leg;Hip, Pelvis"
"Heart Complications-Survival Action, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",5,Heart;Survival Action;Arm;Shoulder;Lip
"Shoulder and Thoracic Strain, Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps",6,Shoulder;Neck or Back;Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease
Broken Bones in Right Foot,1,Foot
Partial Loss of Eyelid,1,Eye
Lumbar Disc Protrusions,1,Spine
Post-Concussion Syndrome,1,"Head, Skull"
Pinched Nerves in Shoulder Rotator Cuff,1,Shoulder
"Neck, Shoulder and Lower Back Pain, Compensatory Left Sacroiliac Joint Dysfunction With Sciatic Nerve Radiculopathy",3,Shoulder;Neck or Back;Nerve System
Laceration on Foot,1,Foot
Exacerbation of Preexisting Depressive and Anxiety Disorders,1,Depression
"Neck and Hand Sprain, Injuries to Head, Back, and Neck",3,"Hand;Neck or Back;Head, Skull"
Broken Collarbone,1,Clavicle
Torn Cervical Muscle and Fibrosis,2,Neck or Back;Fibrosis
"Cervical and Thoracic Strain, Mental and Physical Pain and Suffering from Dorsal Column Stimulator",4,Neck or Back;Shoulder;Spine;General Emotional Problems
Facial Drooping and Numbness,1,Face
"Depression and Sleeping Disorder from Persistent Pain, Laceration of Back and Arm",4,Sleeping Disorder;Depression ;Arm;Neck or Back
Neck and Shoulder Pain,2,Shoulder;Neck or Back
Paracervical Muscle Spasms,1,Organs of Reproduction
Herniation of the C3-C4 Disc,1,Spine
"Permanent Impairment of Fine Motor Skills, Left Hand, Burned Right Arm",4,Eye;Hand;Arm;Burns
Pain Radiating from Skull,1,"Head, Skull"
"Contusions to the Head and Thigh, Flare up of Pain in Neck and Testicles",4,"Head, Skull;Leg;Neck or Back;Organs of Reproduction"
Upper and Lower Back Pain,1,Neck or Back
"Soft Tissue Injury to Neck and Shoulders, Injuries to Neck and Shoulder in the Form of a Calcified Herniation at the C3-4 Level with Impingement on Spinal Cord",4,Shoulder;Neck or Back;Soft Tissue;Spine
"Lacerations of the Eye and Face, Contusions on Hip, Back, and Leg",5,"Eye;Face;Leg;Neck or Back;Hip, Pelvis"
"Severely Lacerated Foot and Accompanying Infection, Neck and Shoulder Injury",4,Foot;Infection;Shoulder;Neck or Back
"Unspecified Injury to Chest and Back, Soft Tissue Injury of Neck and Shoulder Area",4,Neck or Back;Breast or Chest;Soft Tissue;Shoulder
Soft Tissue Back Injury,1,Neck or Back
"Lumbosacral, Possible Nerve Root Compression and Paresthesias of the Upper Left Extremity, Wrongful Death and Survival Actions (not distinguished)",5,Spine;Nerve System;Arm;Death;Survival Action
"Aggravation of Existing Neck Stiffness and Right Shoulder Pain, Chronic Neck, Back, and Shoulder Pain",2,Shoulder;Neck or Back
"Soft Tissue Injuries of the Neck and Chest, Knee and Shoulder Pain",4,Neck or Back;Breast or Chest;Joint;Shoulder
Compound Open Fracture of Left Tibia and Fibula,1,Leg
"Dog Bite Injuries to Arm and Back, Disfigurement and Infertility",5,Arm;Neck or Back;Multiple Wounds;Skin;Sexual Dysfunction
Lumbar Facet Joint Sprain,1,Neck or Back
"Shoulder, Head, and Neck Pain",3,"Shoulder;Head, Skull;Neck or Back"
"Injuries to Neck, Back, and Arm, Shoulder, Head, and Neck Pain",4,"Arm;Neck or Back;Shoulder;Head, Skull"
Head Injury,1,"Head, Skull"
Shattered Toe,1,Foot
"Pain in Chest, Shoulder, and Left Arm, Aggravation of Existing Neck Stiffness and Right Shoulder Pain",4,Arm;Breast or Chest;Shoulder;Neck or Back
"Sharp Pain and Stiffness in Neck Resulting from Low-Impact Vehicle Collision, Burns to Torso and Leg",5,Neck or Back;Automobile Accident;Leg;Breast or Chest;Abdomen
"Neck and Shoulder Stiffness, Cervical and Thoracic Strain",2,Shoulder;Neck or Back
Posttraumatic Stress Disorder,1,Post Traumatic Stress Syndrome
Hemarthosis,1,Joint
"Aggravation of Pre-Existing Neck Arthritis, Amputation of Right Lower Leg and Large Portion of Left Foot",4,Arthritis;Neck or Back;Leg;Foot
"Neck, Chest, and Wrist Pain, Knee and Back Pain",4,Breast or Chest;Neck or Back;Wrist;Joint
"Cuts and Bruises to Neck, Back, Shoulders, and Arms, Knee and Back Pain",4,Neck or Back;Shoulder;Arm;Joint
Buttockectomy,1,"Hip, Pelvis"
Gripping Problems and Burning Sensation in Hand,1,Hand
"Survival Action and Wrongful Death, Fractures to Fibula, Medial Malleolus and Tibula",4,Survival Action;Death;Joint;Leg
Suicidal Tendencies,1,Depression
"Arm and Shoulder Injury, Multiple Lacerations on Forehead, Chin, and Lip",5,"Arm;Shoulder;Head, Skull;Face;Lip"
"Chronic Neck, Back, and Shoulder Pain, Strain/Sprain to Knee and Sternum",4,Shoulder;Neck or Back;Joint;Sternum
Neck Injury,1,Neck or Back
Traumatic Chondromalacia of Right Patella,1,Joint
"Cuts and Bruises to Hands, Legs, and Elbow, Heart Complications-Survival Action",5,Joint;Hand;Leg;Heart;Survival Action
Injury to the Brachial Plexus Nerve,1,Nerve System
Arm Abrasions,1,Arm
"Electrical Burns on Left Hand, Injury to Thumb, Knees, and Thigh",5,Hand;Burns;Joint;Finger;Leg
Contusions to the Head and Thigh,2,"Head, Skull;Leg"
Bilateral Hand Contusion and Abrasions,1,Hand
Left Acute Neurogenic Atrophy at C7-8,1,Nerve System
Laceration of the Chin,1,Kidney
"Weakness and Loss of Reflex in the Ankle and Foot, Numbness in Right Arm, Hand and Leg",5,Joint;Foot;Arm;Hand;Leg
"Injury to Forehead, Knees, and Clavicle, Cervical and Lumbar Sprain/Strain",5,"Head, Skull;Joint;Clavicle;Neck or Back;Spine"
"Injury to Knee and Wrist, Pain in Leg and Buttocks",4,"Joint;Wrist;Leg;Hip, Pelvis"
Adhesive Capsulitis of Left Shoulder,1,Shoulder
"Contusions on Hip, Back, and Leg, Cervical Myofascial Pain on the Right Side",4,"Leg;Neck or Back;Hip, Pelvis;Myofascial Pain Syndrome"
Mid-Back Strain,1,Neck or Back
Anterior Cruciate Ligament Insufficiency in Left Knee,1,Joint
"Laceration of Back and Arm, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",4,Arm;Neck or Back;Shoulder;Lip
"Neck, Back, and Hip Pain, Closed Head and Back Injury",3,"Neck or Back;Hip, Pelvis;Head, Skull"
"Concussion and Fracture of Frontal Sinus, Neck and Hand Sprain",4,"Brain;Head, Skull;Hand;Neck or Back"
"Broken Nose and Cheekbone, Gunshot Wound to the Heel",4,Nose;Face;Gunshot;Foot
"Pain in Lower Back and Left Shoulder, Abrasions to Knees, Arms, Neck, and Face",4,Shoulder;Neck or Back;Arm;Joint
"Hand, Elbow, and Knee Injuries, Lumbosacral Sprain and Right Shoulder Sprain",4,Hand;Joint;Shoulder;Spine
"Kyphosis Which Causes Cervical Curving, Neck and Shoulder Injury",3,Spine;Neck or Back;Shoulder
"Closed-Head Injury with Permanent Cognitive Dysfunction, Paralysis of Left Arm and Leg",4,"Head, Skull;Cognitive Problem;Arm;Leg"
"Chronic Neck, Back, and Shoulder Pain, Severe Pain in Neck, Back, and Shoulders",2,Shoulder;Neck or Back
"Fractured Skull and Pelvis, Paralysis of Left Arm and Leg",4,"Head, Skull;Hip, Pelvis;Arm;Leg"
Knee Surgery,1,Joint
"Tenderness Between Ribs and Lower Spine, Soft Tissue Injury to Thighs",4,Ribs;Spine;Leg;Soft Tissue
Unspecified injuries,1,Unspecified
"Bruises on Right Forearm and Shin, Closed-Head Injury with Permanent Cognitive Dysfunction",4,"Arm;Leg;Head, Skull;Cognitive Problem"
"Renal, Cardiac, and Pulmonary Contusions, Contusions of Right Knee and Chest Wall",5,Kidney;Heart;Lung;Joint;Breast or Chest
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin",5,Burns;Hand;Stomach;Leg;Abdomen
Antral Gastritis,1,Stomach
Ligament Damage,1,Joint
Numbness in Feet,1,Foot
"Wrist and Neck Injuries, Broken Small Finger, Thumb, and Nose",4,Wrist;Neck or Back;Finger;Nose
Cervical and Lumbar Injuries at L5-S1 and L3-L4,1,Neck or Back
Left Shoulder Sprain,1,Shoulder
"Back and Left Leg Pain, Fractures of Humerus, Wrist, and Ankle",5,Leg;Neck or Back;Joint;Arm;Wrist
Bulging Disc,1,Spine
"Reflex Sympathetic Dystrophy in Arm and Hand, Abrasions to Knees, Arms, Neck, and Face",4,Arm;Hand;Neck or Back;Joint
Spurs in Cervical Vertebra Number 4,1,Spine
Wrongful Death Minor,1,Death
"Back, Neck, and Head Pain, Neck, Knee, and Back Injuries",3,"Neck or Back;Head, Skull;Joint"
"Soft Tissue Injury to Trapezius Muscle, Non-displaced Fracture of the Radial Head of Right Arm",4,"Soft Tissue;Shoulder;Hand;Head, Skull"
Severe Headaches,1,"Head, Skull"
Malignant Pleural Mesothelioma (Cancer),1,Cancer
"Injury to Head, Neck, and Thumb",3,"Neck or Back;Head, Skull;Finger"
"Cervical and Shoulder Sprains, Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back",7,"Shoulder;Neck or Back;Face;Abdomen;Leg;Neck or Back;Hip, Pelvis"
"Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal, Knee and Shoulder Pain",5,Nerve System;Hand;Wrist;Joint;Shoulder
"Cervical and Shoulder Sprain, Symptomatic Left Knee Lumbar Syndrome",4,Shoulder;Neck or Back;Joint;Spine
"Tenderness Between Ribs and Lower Spine, Bruises on Face and Knee",4,Ribs;Spine;Face;Joint
"Disfigurement of Knee and Leg, Perforation of Intestine Due to Surgical Removal of Polyps, and Infection of Intestine",4,Joint;Leg;Intestine;Infection
Chronic Post-Traumatic Stress Disorder,1,Post Traumatic Stress Syndrome
"Neck, Spine, and Dental Injuries",3,Spine;Neck or Back;Mouth or Teeth
"Radiational Pain from Hip to Back, Severe Nerve Damage in Arm and Shoulder",4,"Neck or Back;Hip, Pelvis;Arm;Shoulder"
Bruises and Abrasions to Torso and Head,1,"Head, Skull"
Ventral Flattening of Thecal Sac,1,Spine
Injury to Spine Muscles,1,Spine
Thorocolumbar Strain,1,Spine
"Torn Cervical Muscle and Fibrosis, Chronic and Irremediable Pain in the Lower Back, Hip, Thigh and Leg",4,"Neck or Back;Fibrosis;Hip, Pelvis;Leg"
"Pain in Chest, Shoulder, and Left Arm, Joint Injury between Hand and Wrist",5,Arm;Breast or Chest;Shoulder;Hand;Wrist
"Burns to Hand and Feet, Foot, Ankle, Back, and Shoulder Pain",5,Hand;Foot;Joint;Neck or Back;Shoulder
Chrondral Lesion in Right Knee,1,Joint
"Neck and Lower Back Injuries, Dog Bite on Hand and Stomach",5,Back;Neck or Back;Hand;Stomach;Multiple Wounds
"Loss of Urinary, Bowel, and Sexual Function, Injuries to Back and Buttocks",5,"Ureter or Urethra;Intestine;Sexual Dysfunction;Neck or Back;Hip, Pelvis"
Chronic Headaches,1,"Head, Skull"
Worried About Pregnancy Until Birth of Child,1,General Emotional Problems
"Pyorrhea (Gum Disease), Injury to Thumb, Knees, and Thigh",5,Mouth or Teeth;Jaw;Joint;Wrist;Leg
Multiple Fractures of Lower Extremities,1,Leg
Fusion of Femur Neck to Hip Joint,2,"Neck or Back;Hip, Pelvis"
"Degenerative Arthritis of the Thumb, Lost Tips of Fingers, Nose, and Part of Nostrils",4,Arthritis;Hand;Finger;Nose
Limp,1,Disability
"Injuries to Calf, Knee, and Elbow",2,Joint;Leg
"Numbness and Tightness in Arm, Leg, and Fingers, Cervical and Lower Lumbar Pain",5,Arm;Leg;Finger;Neck or Back;Spine
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Cervical Strain With Nerve Root Irritation",6,Burns;Hand;Leg;Stomach;Neck or Back;Nerve System
"Heart Complications-Survival Action, Partial Loss of Smell and Taste",4,Heart;Survival Action;Nose;Mouth or Teeth
Cervical and Lumbar Sprain,1,Neck or Back
"Right Knee Slip and Fall Injury, Right Subclavian Central Line and Trachostomy",4,Joint;Falling;Clavicle;Trachea
Partially Detached Ear,1,Ear
"Back Pain Radiating Down Right Leg, Head and Shoulder Injury",4,"Leg;Neck or Back;Shoulder;Head, Skull"
Fibular Fracture Next to Left Knee,1,Joint
Unspecified Injury to Chest and Back,2,Neck or Back;Breast or Chest
Permanent Numbness in Section of Left Leg,1,Leg
"Unidentified Lower Back and Shoulder Pain, Annular Tear at the L5-S1 level in Back",3,Shoulder;Neck or Back;Spine
"Cervical Strain With Nerve Root Irritation, Loss of Almost All Usage of Right Arm, Hand, and Leg",5,Neck or Back;Nerve System;Arm;Hand;Leg
"Anterior Contusions of the Knee and Legs, Knee and Back Pain",3,Joint;Leg;Neck or Back
Ruptured Discs at C4-5 and L5-S1,1,Spine
"Permanent Impairment of Fine Motor Skills, Left Hand, Cut Hand and Subsequent Infection",3,Eye;Hand;Infection
Acute Mid-back Strain,1,Neck or Back
"Kyphosis Which Causes Cervical Curving, Neck, Shoulder, Head, and Back Pain",4,"Spine;Neck or Back;Shoulder;Head, Skull"
Tooth Injury,1,Mouth or Teeth
"Forearm, Neck, and Shoulder Injuries, Wrongful Death and Survival Actions (not distinguished)",5,Shoulder;Arm;Neck or Back;Death;Survival Action
Major Depression,1,Depression
"Temporomandibular Joint Dysfunction and Arthritis, Cut Hand and Subsequent Infection",4,Arthritis;Jaw;Hand;Infection
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Injury to Knee and Wrist",5,Shoulder;Mouth or Teeth;Arm;Joint;Wrist
"Laceration of Back and Arm, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",4,Arm;Neck or Back;Shoulder;Mouth or Teeth
"Soft Tissue Injury of Neck and Shoulder Area, Contusions on Right Hand, Right Knee, Right Chest Wall, and Left Jaw",7,Soft Tissue;Neck or Back;Shoulder;Hand;Joint;Breast or Chest;Jaw
Minor Head Contusion,1,"Head, Skull"
"Concussion and Fracture of Frontal Sinus, Cuts and Bruises to Hands, Legs, and Elbow",5,"Brain;Head, Skull;Joint;Hand;Leg"
"Cuts and Bruises to Neck, Back, Shoulders, and Arms, Broken Teeth and Exposed Nerves",5,Neck or Back;Shoulder;Arm;Mouth or Teeth;Nerve System
Shortened Life,1,Other Damages
"Cervical and Shoulder Sprain, Bruises on Right Forearm and Shin",4,Shoulder;Neck or Back;Arm;Leg
"Head and Shoulder Injury, Lower Back Pain Radiating Into Left Hip and Leg",5,"Shoulder;Head, Skull;Neck or Back;Hip, Pelvis;Leg"
"Head, Neck, Sternum, Jaw and Rib Pain, Right Knee Slip and Fall Injury",6,"Jaw;Head, Skull;Neck or Back;Ribs;Joint;Falling"
Right Leg Pain,1,Leg
Keloid Scarring,1,Face
Injury to Knee,1,Joint
"Depression and Sleeping Disorder from Persistent Pain, Lost Tips of Fingers, Nose, and Part of Nostrils",4,Sleeping Disorder;Depression ;Finger;Nose
"Neck and Shoulder Injuries, Arm and Shoulder Injury",3,Shoulder;Neck or Back;Arm
"Taut Paravertebral and Trapezius Muscles, Significant Pain in Left Arm, Shoulder and Hand",4,Spine;Shoulder;Arm;Hand
Cervical Hypolordosis,1,Neck or Back
"Knee and Back Pain, Neck and Shoulder Injuries",3,Joint;Neck or Back;Shoulder
"Neck and Shoulder Injuries, Neck, Arm, and Hand Pain",4,Shoulder;Neck or Back;Arm;Hand
"Back, Hip, and Leg Injuries",3,"Neck or Back;Hip, Pelvis;Leg"
Ear Injury,1,Ear
Cervical and Lumbrosacral Strain,1,Neck or Back
"Compound, Comminuted, and Depressed Focal Skull Fracture",1,"Head, Skull"
"Neck and Shoulder Stiffness, Seat Belt Burns to Neck and Chest",4,Shoulder;Neck or Back;Burns;Breast or Chest
Meniscus Tear in Right Knee,1,Joint
Knot on Head,1,"Head, Skull"
Muscle Spasms,1,Unspecified Muscle Injuries
"Bruised Lung, Kidney, and Liver, Degenerative Arthritis of the Thumb",5,Kidney;Lung;Liver;Arthritis;Hand
Left Distal Tibia and Fibula Fractures,2,Leg;Joint
Loss of Cervical Curve,1,Neck or Back
Fractured Elbow,1,Joint
"Fractures of Humerus, Wrist, and Ankle, Tenderness Between Ribs and Lower Spine",5,Joint;Arm;Wrist;Ribs;Spine
"Non-displaced Fracture of the Radial Head of Right Arm, Closed-Head Injury with Permanent Cognitive Dysfunction",3,"Hand;Head, Skull;Cognitive Problem"
Carpal Tunnel Syndrome,1,Wrist
Decreased Lumbar Range of Motion,1,Neck or Back
Unspecified Injuries Resulting from Boat Allision,1,Unspecified
"Back and Left Leg Pain, Injuries to Shoulder, Clavicle, and Ribs",4,Leg;Neck or Back;Ribs;Shoulder
"Multiple Lacerations on Forehead, Chin, and Lip, Soft Tissue Injury to Neck and Shoulders",6,"Head, Skull;Face;Lip;Shoulder;Neck or Back;Soft Tissue"
Osteomyelitis,1,Severe Disease
Multiple Contusions,1,Skin
"Arm and Shoulder Injury, Arm and Shoulder Injury",2,Arm;Shoulder
Soft Tissue Neck Injury,1,Neck or Back
Damage to Femoral Artery,1,Leg
"Psychological Problems including Depression, Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back",7,"General Emotional Problems;Depression;Face;Abdomen;Leg;Neck or Back;Hip, Pelvis"
Fractured Ankle,1,Joint
"Perforation of Intestine Due to Surgical Removal of Polyps, and Infection of Intestine, Pyorrhea (Gum Disease)",4,Intestine;Infection;Mouth or Teeth;Jaw
Vascular Claudication of the Lower Extremities,1,Leg
Knee Damage,1,Joint
"Knee and Shoulder Pain, Numbness and Tightness in Arm, Leg, and Fingers",5,Joint;Shoulder;Arm;Leg;Finger
"Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",4,Neck or Back;Shoulder;Mouth or Teeth;Arm
Skin Graft,1,Skin
"Significant Pain in Left Arm, Shoulder and Hand",3,Arm;Shoulder;Hand
Soreness to Left Shoulder,1,Shoulder
"Neck and Shoulder Injuries, Psychological Problems including Depression",4,Shoulder;Neck or Back;General Emotional Problems;Depression
"Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps, Neck, Shoulder and Lower Back Pain",6,Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease;Shoulder;Neck or Back
Cervical and Lumbar Sprain/Strain,2,Neck or Back;Spine
"Aggravation of Existing Neck Stiffness and Right Shoulder Pain, Seat Belt Burns to Neck and Chest",4,Shoulder;Neck or Back;Burns;Breast or Chest
"Injuries to Gum and Lip, Numbness in Right Arm, Hand and Leg",5,Lip;Mouth or Teeth;Arm;Hand;Leg
"Wrongful Death and Survival Actions (not distinguished), Paralysis of Left Arm and Leg",4,Survival Action;Death;Arm;Leg
"Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains, Cut Hand and Subsequent Infection",4,Neck or Back;Shoulder;Hand;Infection
Cervical Facet Arthropathy,1,Neck or Back
Stab Wounds to Back and Hand,2,Hand;Neck or Back
Injury to Right Knee and Back,2,Joint;Neck or Back
"Neck and Hand Sprain, Knee, Neck and Back Injuries",3,Neck or Back;Hand;Joint
"Bruised Foot and Knee, Cervical and Thoracic Strain",4,Foot;Joint;Neck or Back;Shoulder
"Right Subclavian Central Line and Trachostomy, Temporomandibular Joint Dysfunction (Jaw and Neck Pain)",4,Clavicle;Trachea;Jaw;Neck or Back
"Amputation of Two Fingers on Right Hand, Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains",4,Finger;Hand;Neck or Back;Shoulder
Fracture of Left Ulna Requiring Surgical Implant of Metal Plate and Screws,1,Arm
Injured Knee,1,Joint
Severe Closed Head Injury,1,"Head, Skull"
Shortness of Breath,1,Lung
Loss of Hearing,1,Ear
"Neck, Chest, and Wrist Pain, Bruised Lung, Kidney, and Liver",6,Wrist;Neck or Back;Breast or Chest;Kidney;Lung;Liver
"Injury to Forehead, Knees, and Clavicle, Heart Complications-Survival Action",5,"Head, Skull;Joint;Clavicle;Heart;Survival Action"
Severe Injuries Sustained From Falling Off Roof,1,Falling
"Degenerative Arthritis of the Thumb, Lumbar Strain With Nerve Root Irritation",4,Arthritis;Hand;Neck or Back;Nerve System
"Neck, Arm, and Hand Pain, Injuries to Calf, Knee, and Elbow",5,Arm;Hand;Neck or Back;Joint;Leg
Torn Eyelid,1,Eye
Muscle Knot Behind Ear,1,Ear
"Severe Nerve Damage in Arm and Shoulder, Limited Mobility in Fingers and Knee",4,Arm;Shoulder;Finger;Joint
"Anterior Contusions of the Knee and Legs, Neck, Back, and Finger Sprains",4,Joint;Leg;Neck or Back;Finger
Intermittent Bilateral Cervical Radiculopathy,1,Leg
"Injuries to Back and Buttocks, Neck and Hand Sprain",3,"Neck or Back;Hip, Pelvis;Hand"
"Injuries to Left Arm and Shoulder, Dog Bite on Hand and Stomach",5,Arm;Shoulder;Hand;Stomach;Multiple Wounds
"Aggravation of Pre-Existing Knee and Wrist Injury, Cuts and Bruises to Hands, Legs, and Elbow",4,Joint;Wrist;Hand;Leg
Chipped Tooth,1,Mouth or Teeth
Loss of Sleep,1,Sleeping Disorder
"Soft Tissue Injury to Trapezius Muscle, Cervical Injury (Whip Lash)",4,Soft Tissue;Shoulder;Whiplash;Neck or Back
"Neck and Hand Sprain, Amputation of Right Lower Leg and Large Portion of Left Foot",4,Neck or Back;Hand;Leg;Foot
"Injuries to Left Arm and Shoulder, Neck and Lower Back Injuries",4,Arm;Shoulder;Neck or Back
"Symptomatic Left Knee Lumbar Syndrome, Permanent Disfigurement and Disability",4,Joint;Spine;Disability;Skin
"Closed Head and Back Injury, Rib Fracture Leading to Pneumonia",4,"Neck or Back;Head, Skull;Ribs;Lung"
"Hand, Elbow, and Knee Injuries, Loss of Urinary, Bowel, and Sexual Function",5,Hand;Joint;Ureter or Urethra;Intestine;Sexual Dysfunction
Crushed Nose,1,Nose
"Burns on Scalp, Knee and Shoulder Pain",4,"Burns;Head, Skull;Joint;Shoulder"
"Fractured Skull and Pelvis, Ulnar Nerve Irritation Causing Numbness in Three Fingers",4,"Head, Skull;Hip, Pelvis;Wrist;Finger"
Disc Bulge,1,Spine
"Tenderness Between Ribs and Lower Spine, Unspecified Neck and Shoulder Injuries",4,Ribs;Spine;Shoulder;Neck or Back
Cervical Spine Injury Requiring Surgery,1,Spine
"Shallower Lacerations up Back and Left Arm Pit, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",4,Neck or Back;Arm;Shoulder;Lip
Cervical Spine Muscular Sprain,1,Spine
Two Arthroscopic Knee Surgeries,1,Joint
Permanent Cognitive Deficits,1,Cognitive Problem
Disc Herniation at the C5-C6 Level,1,Spine
Excessive Loss of Blood,1,Bleeding
"Cervical and Lumbrosacral Strain, Heart Complications-Survival Action",4,Neck or Back;Spine;Heart;Survival Action
Myofascial Pain,1,Myofascial Pain Syndrome
Fractured Rib,1,Ribs
Multiple Abrasions and Contusions,1,Skin
Knee Injury Involving Meniscal Tear and Aggravationof Degeneration Arthritis Requiring Total KneeReplacement Surgery,1,Joint
